ID,Position,Company,Location,Job Type,Pay,Shift and Schedule,Website URL,Job Description,URL
1,Student / Intern,Oracle,"Bengaluru, Karnataka",Full-time  Internship  ,,,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/243636?src=JB-10145,This job code is utilized for the majority of our temporary hires. The individual is performing hourly job duties as defined under the Fair Labor Standards Act.     Career Level - IC0,https://in.indeed.com/rc/clk?jk=dbbe071a6bc3f43c&bb=E_6gdU4WBmhhXo2A5qoFSb74aqY5szi9mC4ddPoYH4ZifmeL5-ZHy8yc2vNo6J1wGIDDD7Xhqgs8G_q53QbnqurNYxwil4lKszJmYHmgXDIv5kNKSAvxow%3D%3D&xkcb=SoAG67M3_UzpJ2RUgx0LbzkdCdPP&fccid=cd22d01053af7669&vjs=3
2,Web Development Intern,3Ding,Remote,Full-time  Internship  ,"₹10,000 a month  ",,https://redd.zohorecruit.com/recruit/PortalDetail.na?iframe=true&digest=.0F6y@powcvWKP5gw@g7.nGAUnkE7bVo.a85bxdBEmQ-&jobid=409850000005644019&widgetid=409850000000072311&embedsource=CareerSite,"Full time          3Ding          Remote Job            Posted On 25/04/2022                  Job Information            Industry       Technology               Work Experience       0-1 year               Salary       10000                 Job Description                 This is a remote position.            3Ding is hiring Web-Development Interns to build &amp; maintain www.3Ding.in                       Internship Period: 3 Months          Expected Skillset: HTML, CSS &amp; relevant domain knowledge          Stipend: 10000 per month          Expected Joining: Within a week                   Post successful completion of the Internship, opportunities to work full time, starting at 18000 per month.                                         Responsibilities &amp; Roadmap:                        Build front-end of the website.          Maintain &amp; modify the front-end based on analytics.          Opportunity to learn &amp; deploy back-end processes.          Opportunity to learn &amp; deploy automated marketing.          Opportunity to learn &amp; deploy E Commerce stores.          Opportunity to learn &amp; deploy Java Script WebApps (Mongo, React, Node etc) (6 months+)          Opportunity to lead a small tech team (2 Years+)                               Requirements              Proficient with basic HTML &amp; CSS.          Knowing Bootstrap is +5.          Knowing Wordpress is +5.          Knowing basics of SEO, SEM is +5.          Good grammar &amp; written communication is +5.          Any bachelor's degree can apply.                               Benefits             3Ding presents an opportunity to work in a disrupting industry: 3D Printing, which has an average CAGR of 24%.                                         3Ding boasts an excellent Work culture:                        You would be presented with Challenging responsibilities &amp; not just daily tasks.          Cross-Disciplined meetings to gain an umbrella knowledge on multiple things.          Roadmaps to upskill &amp; grow faster.          Annual Appraisals better than the industry average.          Small team with less hierarchy - helps move fast.",https://in.indeed.com/rc/clk?jk=00f264c926120a30&bb=E_6gdU4WBmhhXo2A5qoFSd4TSTgkuTaq6ek-RnVKGIz2XQQ3HNjk3tm8cJdBLvCgHFwvrJBVF2Ccbovd0Iovv-VJmpJe1qusF3x_4Ru6nw4N2iY0CwpT3DwVYMrEvcXm&xkcb=SoCy67M3_UzpJ2RUgx0KbzkdCdPP&fccid=8b82c310ceec324f&vjs=3
3,cybersecurity Intern,ZapFin Teknologies Pvt. Ltd. (DocBoyz),"Pune, Maharashtra",Internship  ,,,,"Company Description      We are one of the leaders in modern banking and financial customer verification processes. DocBoyz deals in collection and analysis of customers documents through both online and offline method and reporting the same to banks and financial institutions after conducting a background check of customers. DocBoyz is fully committed to verification and validation of documents through the e-KYC process that involves AI to detect frauds beforehand.    Job Description      Key Responsibilities:  1. Conduct regular security assessments and penetration testing on our systems and applications.  2. Monitor and analyze security incidents to identify vulnerabilities and recommend solutions.  3. Stay up-to-date on the latest cyber threats and security trends to proactively address potential risks.  4. Support in the investigation and resolution of security breaches or incidents.  5. Participate in security training and awareness programs to educate staff on cyber security best practices.  6.Web and mobile app scarping  7. AWS-Lambda,GIT,  8.ethical hacking    Additional Information      1. are available for full time (in-office) internship     2. can start the internship between 15th Jun'24 and 20th Jul'24     3. are available for duration of 6 months     4. have relevant skills and interests        Women wanting to start/restart their career can also apply.",https://in.indeed.com/rc/clk?jk=0bcb002ff7bcc255&bb=E_6gdU4WBmhhXo2A5qoFSW6HaKKDANTLmwlYtCU-6hact3oK6gXaLYfsHZSwVr2YbloUAneeJSi8sGaJP-FRhe0CCNs-LvD6wS_kh6ZyG3KYEvHVqknQjbSutpY9Rt--&xkcb=SoAv67M3_UzpJ2RUgx0JbzkdCdPP&fccid=1b3cb9535469f0af&vjs=3
4,Intern - InfoSec,Seagate Technology,"Pune, Maharashtra",Internship  ,,,https://seagatecareers.com/job/Pune-Intern-InfoSec/1155498800/?feedId=325900&utm_source=Indeed&utm_campaign=Seagate_Indeed,"About our group:                     This Information Security intern position is in the Infosec Operations team at Seagate. The Infosec intern will work across different areas such as network security, endpoint detection and response, cloud security, and threat hunting.                          About the role - you will:                          Assist in responding to requests and incidents related to network security tools       Analyze logs for security events and respond to incidents       Assist in identifying and ingesting relevant threat intelligence       Assist in triaging and acting on endpoint detection and response tool detections       Assist in triaging and acting on cloud security tool detections                                About you:                          Interest in cybersecurity threat hunting and threat intelligence       Self-driven personality who can work with moderate level of supervision and direction       Enthusiastic and quick learner with good verbal and written communication skills       Demonstrated analytical and problem-solving skills, planning, and organizational skills                                Your experience includes:                          Basic knowledge of cyber security principles, tools, operating systems (Windows / Linux), and computing devices       Proficiency in one or more of the following-Python, XML, HTML, SQL and / or familiarity with MITRE ATT&amp;CK framework would be a plus                               Location:                     Pune, India  Our site in Pune is dynamic, both in our cutting-edge, innovative work, as well as our vibrant on-site food, and athletic and personal development opportunities for our 400+ employees. You can enjoy breakfast, lunch, or dinner from one of four cafeterias in the park. Take a break from your workday and participate in one of our many walkathons or compete against your colleagues in carrom, chess and table tennis. Learn about a technical topic outside your area of expertise at one of our monthly Technical Speaker Series, or attend one of the frequent on-site cultural festivals, celebrations, and community volunteer opportunities.               Location : Pune, India   Travel : None",https://in.indeed.com/rc/clk?jk=45668d0f5144fa93&bb=E_6gdU4WBmhhXo2A5qoFSS-8miEXz1XMoq8lAKnVIoqq8TQ_l1pJeq9kFJFBvEIx3LGQ5OjgBzNdQbSck1h4GIW3aHSPUPfpt6aebugvnhkfC0keQVkRHIu-Eddf9KuI&xkcb=SoCb67M3_UzpJ2RUgx0IbzkdCdPP&fccid=eb193642f8c64a12&vjs=3
5,SaT-DnA-Intern,EY,India,Internship  ,,,https://eyglobal.yello.co/jobs/rYhvu-V-pTNv8veOcFuV0Q?job_board_id=c1riT--B2O-KySgYWsZO1Q&src=JB-10820,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.           EY-Strategy and Transactions (SaT)– DnA Data-Science      EY’s Data n’ Analytics team is a multi-disciplinary technology team delivering client projects and solutions across Data Management, Data Science, AI, Advanced Analytics, Visualization, Business Analytics and Automation. The assignments cover a wide range of countries and industry sectors.          The opportunity      We’re looking for an employee with knowledge in Data Science, strong understanding in Machine Learning; Python Programming and responsible for developing solutions applying Machine learning.          Your key responsibilities          Assist in collecting, cleaning, and preprocessing data from various sources to ensure data quality and integrity.      Support the development and validation of predictive models using machine learning algorithms.      Work closely with cross-functional teams, including business analysts, product managers, and IT professionals to understand business requirements and deliver solutions.      Reporting: Prepare reports and presentations to summarize findings and recommendations.             Skills and attributes for success          Knowledge of Python programming language      Well versed with data structure algorithm, Familiarity with different frameworks related to Data Science, ML, LLM, NLP, Deep learning, Scikit-learn, TensorFlow, or similar.      Understanding of Software development principle      Strong analytical and problem-solving skills with attention to detail.      Good interpersonal skills and excellent written and verbal communication skill      Team player, open, pleasure to work with and positive in a group dynamic.             Responsibilities, Qualifications, Certifications           To qualify for the role, you must have          Bachelor’s degree in computer science or a related field      Hands-on experience through academic projects, internships, or personal projects related to data analysis and machine learning.      Proficient in SQL, Python and R      Any certification in AI/ML is a plus.             What we look for          A Team of people with commercial acumen, technical experience and enthusiasm to learn new things in this fast-moving environment      An opportunity to be a part of market-leading, multi-disciplinary team of 1400 + professionals, in the only integrated global transaction business worldwide.      Opportunities to work with EY SaT practices globally with leading businesses across a range of industries             What working at EY offers      At EY, we’re dedicated to helping our clients, from start–ups to Fortune 500 companies — and the work we do with them is as varied as they are. You get to work with inspiring and meaningful projects. Our focus is education and coaching alongside practical experience to ensure your personal development. We value our employees and you will be able to control your own development with an individual progression plan. You will quickly grow into a responsible role with challenging and stimulating assignments. Moreover, you will be part of an interdisciplinary environment that emphasizes high quality and knowledge exchange. Plus, we offer:         Support, coaching and feedback from some of the most engaging colleagues around      Opportunities to develop new skills and progress your career      The freedom and flexibility to handle your role in a way that’s right for you                  EY | Building a better working world           EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.          Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.          Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",https://in.indeed.com/rc/clk?jk=d3ab18dcac31b5f0&bb=E_6gdU4WBmhhXo2A5qoFSasFiGErqH8quEjwMmj-eoqzwuYmsmzmVDK6EzFdWbPPhVETj0UCje4OPgwY7cVa1FCQVBwCBWTDlzl7OTRP8wqG2p3IL1OOKX8E17z4VuCf&xkcb=SoAV67M3_UzpJ2RUgx0PbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
6,DevOps Internship,Divam Technologies,"Jaipur, Rajasthan",Internship  ,"₹5,000 - ₹15,000 a month  ",,https://divamtech.com/job_details/14,"Web development | On-site: Jaipur | Experience: 0 year(s)      We have a 3-6 Month internship program. We have three category on internship:     1. Internship with incentive which is 5k-15k per month  2. Free internship  3. Paid internship where you have to pay 3k per month  All three categories are justified by your internship interview. After joining depends on the performance it can be upgraded. After completion of internship you will get a certificate. If you perform well in an internship we can offer you a permanent job role as well.    Please come to our Jaipur office for face to face interview at  1st Floor, 1/47, Sector 1, Near Agarwal Caterers, Vidhyadhar Nagar, Jaipur-India 302039",https://in.indeed.com/rc/clk?jk=da951246d08e99a6&bb=E_6gdU4WBmhhXo2A5qoFSa7-C9spIgt6jLAp1e0wwhjmpyQntpWpx_wC2s7cWJI0oaS3MGfPUrnhWAXDMK_U6wM8lhjM-7OWdUSXPDkfVim_LUL2x8bOp54Mg1PDE_eB&xkcb=SoCh67M3_UzpJ2RUgx0ObzkdCdPP&fccid=21d42f28deb3a508&vjs=3
7,Java Developer Intern,Vertical Software,"Pune, Maharashtra",Internship  ,,,,"Company Description      Since 2009, Vertical Software has been creating and delivering quality solutions. VS helps businesses automate their complex business processes into simplified software applications. Whether you need; end to end Stock Management Services, Billing Solutions, Document management or Business Process Automation; Vertical Software Solutions can tailor a solution to meet your individual business needs.    Job Description      Duration - 6 Month's     No of Vacancy - 08 .  Percentage - 50 % and above.    Skills Required - Java, (Collection in Java), Jsp, Servlet, JavaScript, CSS, Bootstrap, MySql, Ajax.    Job Roll's and Responsibility's - Designs and develops user interfaces to internet/intranet applications by setting expectations and features priorities throughout development life cycle; completing programming using languages and software products; designing and conducting tests.    Qualifications      Criteria- Any IT Graduate.",https://in.indeed.com/rc/clk?jk=9332d113312f097b&bb=E_6gdU4WBmhhXo2A5qoFSXes1UmokeQRQ1QwnPOBL2Xxz-044Ro73lHlrAYBtk3spWnKPv02kF5xieNl3dQDxd3tVM78VOP1A5vph5gYDSq5-2GyLzbbz5L446z51pUk&xkcb=SoA867M3_UzpJ2RUgx0NbzkdCdPP&fccid=c531f050cf3adae0&vjs=3
8,Human Resource Intern,Reelo Technologies,India,Internship  ,,,https://reelo.notion.site/Human-Resource-Intern-418034581733474d87333039305f03d4,"Human Resource Intern                                                                                          Why Reelo                                                            In today’s customer centric world, it’s important for every business to market like the best brands in the world. As competition for customers’ attention increases, it has never been more important for small and mid-market F&amp;B and retail businesses to have 360° view of the people that keep them in business. But collecting, understanding and taking action on customer data is riddled with market, resource, and technology challenges. Solving these challenges is why we get up in the morning.                                                                    Reelo is the new-age customer marketing platform for restaurant &amp; retail businesses to grow their revenue, get more customers and build a stronger brand, in an incredibly simple manner.                                                                    We understand that it's easier than ever to start a restaurant &amp; retail business, it’s harder than ever to grow it. Specifically, most of these businesses have two challenges with growth:                                                                     1. Getting people to make their first purchase.                                                                      2. Getting those people to come back and buy again (and again and again).                                                                     These businesses and their teams already have 1,000 things to do — wrestling with overly complicated marketing tools doesn’t need to get added to the list.                                                                    Our SaaS platform makes it fast &amp; easy for businesses to understand more about their customers and continously engage with them in a smart &amp; automated way - making them look like a professional without the effort. There is a massive opportunity in front of us. We’re building a business that is big, meaningful, and lasting. For that, we’re building a strong, diverse team of curious, creative people who want to find purpose in their work and support each other in the process. If that sounds like you, we’d love to hear from you.                                                                    Read more on https://www.reelo.io                                                           About the opportunity                                                              Internship Duration:     4-6 months                                                                        Stipend:     It is paid; we do not believe in Unpaid Internships                                                                        Work mode:     a work-from-office internship in Ahmedabad                                                             What will you do?                                                                       Conduct research on HR best practices and industry trends.                                                                                         Assist in maintaining employee records and HR databases.                                                                                         Participate in the development and implementation of HR policies and procedures.                                                                                         Support employee relations initiatives and activities.                                                                                         Contribute to the maintenance of a positive and professional HR environment.                                                                                         Conduct employee engagement activities                                                                                         Proven ability to handle confidential information with discretion                                                                     What you need?                                                                       Incessant problem solving skills                                                                                         The ability to understand goals of Reelo and recommend new approaches for improvements in the welfare and development of the Employees                                                                                         Familiarity / Exposure to tools like LinkedIn, Angel List.                                                                                         Excellent organizational and interpersonal skills                                                                                         Strong drive to create a positive work environment                                                                              If you don't think you meet all the criteria above but still are interested in the opportunity, please apply! It's impossible for one person to check every box, and we're looking for someone who is willing to grow with us create impactful work!                                                           Ready to apply                                                            Reelo has a positive, diverse, and supportive culture—we look for people who are curious, inventive, and work to be a little better every single day. In our work together, we aim to be smart, humble, hardworking, and, above all, collaborative. If this sounds like a good fit for you, why not say hello?                                                                     Mail us your resume and tell us why you are the best fit for this role:   hr@reelo.io",https://in.indeed.com/rc/clk?jk=5cdfc36881eaec7c&bb=E_6gdU4WBmhhXo2A5qoFScV1Duztm75bhfgUZrvmy8KJCY5EwiSpHSlaoyhIThwzwjHck_eRxFECvdJAS1CsJfvxe6es_mIQFDlPvanwu0aMVGnZcAjP_rxp7x_ujOuh&xkcb=SoCI67M3_UzpJ2RUgx0MbzkdCdPP&fccid=af9893370a04ce67&vjs=3
9,Intern - Data Management,Gryphon Academy Pvt. Ltd.,"Baner, Pune, Maharashtra",Full-time  Internship  ,"₹7,000 a month  ",Day shift  ,,"Job Description: Intern - Data Management     Position:  Intern - Data Management  Duration:  6 Months  Stipend:  ₹7,000 per month  Location:  Baner, Pune    About Us:  [Your Company Name] is a [brief description of your company, industry, and any relevant details]. We are seeking a motivated and detail-oriented Data Management Intern to join our team for a 6-month internship. This role offers an excellent opportunity to gain hands-on experience in data management and advance your skills in Excel.    Responsibilities:       Assist in collecting, cleaning, and organizing data from various sources.    Perform data entry and ensure accuracy and completeness of data.    Use Excel and advanced Excel functions to analyze data and generate reports.    Maintain and update data records and databases.    Support the team in data-related projects and tasks.    Identify and rectify data discrepancies and inconsistencies.    Collaborate with team members to improve data processes and systems.    Prepare documentation and standard operating procedures for data management tasks.      Qualifications:       A graduate degree in any field (preference for candidates with a background in Computer Science, Information Technology, Statistics, or related fields).    Excellent knowledge of Excel and advanced Excel functions (e.g., VLOOKUP, PivotTables, macros, etc.).    Strong analytical and problem-solving skills.    Attention to detail and a high level of accuracy in work.    Good organizational and time management skills.    Ability to work independently and as part of a team.    Strong communication skills, both written and verbal.      What We Offer:       A supportive and collaborative work environment.    Hands-on experience in data management and analysis.    Mentorship and guidance from experienced professionals.    Opportunities to learn and grow within the organization.     Job Types: Full-time, Internship Contract length: 6 months   Pay: ₹7,000.00 per month   Schedule:      Day shift     Work Location: In person",https://in.indeed.com/rc/clk?jk=0dc1fff9eae2b1d6&bb=E_6gdU4WBmhhXo2A5qoFSZwTYPt_qeAZ9hkkrIVwRazfiXk8fvuxdoKqYaPoPz6OUA4_PMqe3sMVES0ho_dHo0kiiZ9XWS_qyuFra66TC-RMBD7tq-Dtjqzq1EU62GbK&xkcb=SoBh67M3_UzpJ2RUgx0DbzkdCdPP&fccid=3235924bf599c558&cmp=Gryphon-Academy-Pvt.-Ltd.&ti=Intern+Manager&vjs=3
10,Business Development Intern,Deciphercloud Info Solutions Pvt Ltd,"Baner, Pune, Maharashtra",Full-time  Internship  ,"₹8,000 - ₹12,000 a month  ",Day shift  ,,"Position: Business Development Intern   About Us:   Join our dynamic organisation and become a pivotal part of our growth story.   We're on a mission to revolutionize marketing &amp;amp; IT sector and need enthusiastic   individuals to help us drive our sales outreach efforts.   Primary Responsibilities:   As a Business Development Intern, you'll play a crucial role in expanding our   client base and boosting revenue. Your key responsibilities will include:    Identifying potential clients through research and outreach.    Establishing and nurturing relationships with prospective clients.    Driving new revenue streams through strategic initiatives.   Opportunity for Growth:   This internship isn't just about sales—it's a launchpad for exploring various   aspects of our rapidly growing startup. You'll have the chance to immerse   yourself in multiple areas and discover exciting opportunities for personal and   professional development.   We're Looking for Someone Who:   We're seeking outgoing candidates with a passion for entrepreneurship and a   hunger for learning. The ideal candidate will:    Learn quickly and execute with excellence.    Demonstrate exceptional organizational skills and attention to detail.    Possess superior communication skills to effectively engage with clients and   team members.   Traits We Value:   We value candidates who are organized, proactive, and deeply committed to   their own growth and the success of our company. If you have a bias for action   and thrive in a dynamic environment, you'll feel right at home here.   What You Can Expect:   This role isn't just about busywork—it's about making a tangible and significant   impact on our company's trajectory. You'll be involved in a diverse range of   initiatives that directly contribute to our success.   Job Types: Full-time, Internship Contract length: 3 months   Pay: ₹8,000.00 - ₹12,000.00 per month   Schedule:      Day shift     Ability to commute/relocate:      Baner, Pune, Maharashtra: Reliably commute or planning to relocate before starting work (Preferred)     Work Location: In person",https://in.indeed.com/rc/clk?jk=990df4d899988164&bb=E_6gdU4WBmhhXo2A5qoFSSNiF3unO552ruIWt-LlCcSFeyMXkMtFpedEvbrQrirfvdMYORO-_Xb6hRxOCtzfKKN9w-pfKcncpB82mO8ubJKckg-fau0L-_lJLBKEf7aS&xkcb=SoDV67M3_UzpJ2RUgx0CbzkdCdPP&fccid=30ba622b9e3a2209&cmp=Deciphercloud-Info-Solutions-Pvt-Ltd&ti=Business+Development+Intern&vjs=3
11,Data Entry/Database Management,Kokoro Tech Pvt. Ltd.,"Hybrid work in Delhi, Delhi",Full-time  Internship  ,"₹3,000 - ₹4,000 a month  ",,,"Selected intern's day-to-day responsibilities include:   1. Fetch data using an international database 2. Organize data and perform all major data operations using MS Excel 3. Coordinate with marketing team to understand the data requirement   # Number of Internships available: 3   Skill(s) required: MS-Office and MS-Excel (Learn MS-Excel) Who can apply:   Only those candidates can apply who:   1. Are available for full time (in-office) internship   2. Are available for duration of 3 months   3. Are from Delhi and neighboring cities   4. Have relevant skills and interests   Perks: Certificate, Letter of recommendation, Job offer.   Job Types: Full-time, Internship Contract length: 12 months   Pay: ₹3,000.00 - ₹4,000.00 per month   Work Location: Hybrid remote in New Delhi, Delhi 110075",https://in.indeed.com/rc/clk?jk=a22e630cfeb05ceb&bb=E_6gdU4WBmhhXo2A5qoFSVLGeWwazEarSkS7j18qQ091BK-A1_6znVpbTFM0w35VIncEb7ddk6c6AUcyrJpZLMBoHV-k9mOY3ejcYvQ3q8j4-KK4NCqlrnneeDCSuJEU&xkcb=SoBI67M3_UzpJ2RUgx0BbzkdCdPP&fccid=27e74afb69bdaf73&cmp=Kokoro-Tech-Pvt.-Ltd.&ti=Data+Entry+Clerk&vjs=3
12,Software Developement Student Internship,Spintly India Private Limited,"Goa, Goa",Full-time  Part-time  Internship  ,"From ₹8,000 a month  ",Day shift  ,,"Software Development Student Internship  This internship is open to students pursuing B.E. in IT, CS, ETC, or a related field. In this role, we are looking for a person who is a fast learner, and someone who can find different ways to solve a problem. You will work with our team of experienced engineers on exciting projects. If you are enthusiastic about software development, we encourage you to apply for this internship.    Requirements:       Bachelor's degree in Computer Engineering, ETC, IT, or a related field    Worked on projects involving Mobile Application, Data Analytics, Cloud Computing, AI and Machine Learning    Prior internship experience/intern work    Knowledge of algorithms and data structures    Excellent problem-solving and troubleshooting skills    Good written and verbal communication skills      What you will learn:       Design, develop, and maintain high-performance microservices    Strong understanding of microservices architecture and design principles    Proficiency in building RESTful APIs and web services    Understanding of security best practices in backend development    Access to cutting-edge technology and tools    Experience with CI/CD and automation tools for deployment and monitoring      Responsibilities:       Design, develop, and implement solutions for our platform    Develop and maintain scalable and reliable backend applications    Collaborate with cross-functional teams to design, develop and test    Design and develop APIs for integration with third-party systems    Manage cloud-based infrastructure and resources    Implement and maintain cloud security measures    Provide support to customers and resolve issues related to the platform     Interested students shall be provided with training.   Apply to this position on Indeed, or please submit your resume to careers@spintly.com with the subject line ""Software Development Student Internship - [Your Name]"".    About Us:    Spintly is India's fast and upcoming technology company in the Access Management and Security Industry. We pride ourselves on being in tune with the latest technological advancements and believe in continuous learning and improvement.   Our flagship product is a smart, wireless, and cloud-based ""ACCESS CONTROL AND ATTENDANCE MANAGEMENT"" system, which is powered by our in-house Access control (ACaaS) platform which is built upon a distributed system, enables integrations via our SaaS application and native SDKs.   We have a solid national and international presence with a growing customer base in Asia, America, and Middle Eastern regions. Check out our website https://spintly.com/ for more information about our company and products.   Job Types: Full-time, Part-time, Permanent, Fresher, Freelance, Internship   Pay: From ₹8,000.00 per month   Benefits:      Paid sick time    Paid time off    Provident Fund     Schedule:      Day shift     Tipe Lokasi:      In-person     Location:      Goa, Goa (Required)     Work Location: In person",https://in.indeed.com/rc/clk?jk=6e7452708334254c&bb=E_6gdU4WBmhhXo2A5qoFSZ2x3oZvu2jQDEo2CsiDT-hDAyX7ZPXrHTRvmsn53tXCweUAzyHAp4Fzh-RTgwolRj1CwJye0j_m6qEHP6ZwXdwWeDvVTR0A7TOWKLf-DEV_&xkcb=SoD867M3_UzpJ2RUgx0AbzkdCdPP&fccid=a0e83fa64f7410b1&cmp=Spintly-India-Private-Limited&ti=Student+Intern&vjs=3
13,Intern,Harman International,"Bengaluru, Karnataka",Temporary  Internship  ,,,https://jobs.harman.com/en_US/careers/JobDetail/Intern/22788?jobPipeline=Indeed,"Location:                IN_Bangalore_Sattva Knowledge Court Bdg_HII                        Job Family:                General &amp; Administration                        Worker Type Reference:                Intern (Fixed Term) (Trainee) - Intern                        Pay Rate Type:                Salary                        JOB ID:                R-36832-2024                                Description &amp; Requirements                                   Intern                                                           HARMAN is proud to be an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.",https://in.indeed.com/rc/clk?jk=4b976b04df1fefa0&bb=E_6gdU4WBmhhXo2A5qoFSSnRPWKTED7DW2bP6CrJYDVoc12zs3MyyAdiSbcJoO0u26qU78PleMS2AAOtpWHU74XABja_3D6SSA3ND4tXsDQgoJPc52alMA%3D%3D&xkcb=SoBy67M3_UzpJ2RUgx0HbzkdCdPP&fccid=4faf342d2307e9ed&vjs=3
